Video,Type,Frames_Analyzed,GT_Objects,Pred_Objects,Matches,IoU_Score,Dice_Score
V5_Trimmed.mp4,bdi,6,6,6,6,0.10717234761233767,0.1847449395307846
V17_Trimmed.mp4,bdi,12,12,12,12,0.23713223606486608,0.35909792820277847
V14_Trimmed.mp4,bdi,5,5,8,5,0.03420798917887872,0.06279401476599131
LapChol Case 0020 02.mp4,safe,20,20,23,20,0.11492075118573267,0.20143789912716437
LapChol Case 0020 03.mp4,safe,17,17,20,17,0.11605538662594264,0.1912395444245834
LapChol Case 0018 10.mp4,safe,33,33,36,33,0.16068170931198622,0.26389954834134055
V18_Trimmed.mp4,bdi,12,12,16,12,0.11856710919740891,0.18635765124902
V15_Trimmed.mp4,bdi,6,6,9,6,0.13211741707509692,0.21976977296814393
LapChol Case 0012 04.mp4,safe,21,21,24,21,0.14634015599878702,0.24519463765941343
LapChol Case 0019 03.mp4,safe,13,13,14,13,0.1086242276118181,0.19262874242046216
LapChol Case 0023 03.mp4,safe,28,28,37,28,0.17895410207335782,0.2819614063239754
LapChol Case 0018 11.mp4,safe,27,27,28,27,0.16640398712651322,0.27943282483875626
LapChol Case 0016 01.mp4,safe,28,28,29,28,0.11412609084990502,0.19981947576642245
LapChol Case 0019 02.mp4,safe,5,5,5,5,0.17724696790340247,0.2902865382883479
LapChol Case 0023 04.mp4,safe,19,19,23,19,0.12183085421252896,0.20468331777131119
V11-Trimmed.mp4,bdi,3,3,3,3,0.05344444902312364,0.10035299884108834
LapChol Case 0012 03.mp4,safe,37,37,39,37,0.18935772368336873,0.30268606958061245
