video_name,gng_video,tti_video,frame_step,mean_tti_in_go,mean_tti_in_nogo,frames_considered,frames_with_tti
LapChol Case 0001 03,LapChol Case 0001 03.MP4,pred_LapChol Case 0001 03.mp4,1,0.126540,0.151232,10030,10030
LapChol Case 0001 04,LapChol Case 0001 04.MP4,pred_LapChol Case 0001 04.mp4,1,0.069454,0.124859,10030,10030
LapChol Case 0001 05,LapChol Case 0001 05.MP4,pred_LapChol Case 0001 05.mp4,1,0.107772,0.098954,9999,9999
LapChol Case 0002 02,LapChol Case 0002 02.MP4,pred_LapChol Case 0002 02.mp4,1,0.062444,0.229590,10030,10030
LapChol Case 0002 03,LapChol Case 0002 03.MP4,pred_LapChol Case 0002 03.mp4,1,0.231966,0.066399,10030,10030
LapChol Case 0007 01,LapChol Case 0007 01.MP4,pred_LapChol Case 0007 01.mp4,1,0.147058,0.226967,10043,10043
LapChol Case 0007 02,LapChol Case 0007 02.MP4,pred_LapChol Case 0007 02.mp4,1,0.213841,0.254885,10030,10030
LapChol Case 0007 03,LapChol Case 0007 03.MP4,pred_LapChol Case 0007 03.mp4,1,0.207201,0.218412,10030,10030
LapChol Case 0011 02,LapChol Case 0011 02.MP4,pred_LapChol Case 0011 02.mp4,1,0.156274,0.142819,10030,10030
LapChol Case 0011 03,LapChol Case 0011 03.MP4,pred_LapChol Case 0011 03.mp4,1,0.138728,0.097552,10030,10030
LapChol Case 0012 03,LapChol Case 0012 03.MP4,pred_LapChol Case 0012 03.mp4,1,0.218415,0.207432,10030,10030
LapChol Case 0012 04,LapChol Case 0012 04.MP4,pred_LapChol Case 0012 04.mp4,1,0.198428,0.200979,10030,10030
LapChol Case 0015 01,LapChol Case 0015 01.MP4,pred_LapChol Case 0015 01.mp4,1,0.192053,0.142499,10013,10013
LapChol Case 0015 02,LapChol Case 0015 02.MP4,pred_LapChol Case 0015 02.mp4,1,0.250423,0.093498,10030,10030
LapChol Case 0016 01,LapChol Case 0016 01.MP4,pred_LapChol Case 0016 01.mp4,1,0.108486,0.176035,10013,10013
LapChol Case 0018 10,LapChol Case 0018 10.MP4,pred_LapChol Case 0018 10.mp4,1,0.123325,0.133618,10030,10030
LapChol Case 0018 11,LapChol Case 0018 11.MP4,pred_LapChol Case 0018 11.mp4,1,0.141754,0.149041,10045,10045
LapChol Case 0019 02,LapChol Case 0019 02.MP4,pred_LapChol Case 0019 02.mp4,1,0.210094,0.124029,10030,10030
LapChol Case 0019 03,LapChol Case 0019 03.MP4,pred_LapChol Case 0019 03.mp4,1,0.218711,0.129666,10030,10030
LapChol Case 0020 02,LapChol Case 0020 02.MP4,pred_LapChol Case 0020 02.mp4,1,0.083473,0.146455,10015,10015
LapChol Case 0020 03,LapChol Case 0020 03.MP4,pred_LapChol Case 0020 03.mp4,1,0.135076,0.170152,10015,10015
LapChol Case 0023 03,LapChol Case 0023 03.mp4,pred_LapChol Case 0023 03.mp4,1,0.111357,0.198853,10030,10030
LapChol Case 0023 04,LapChol Case 0023 04.MP4,pred_LapChol Case 0023 04.mp4,1,0.146466,0.165914,10045,10045
V10-Trimmed,V10-Trimmed.mp4,pred_V10-Trimmed.mp4,1,0.129219,0.223762,85853,85853
V11-Trimmed,V11-Trimmed.mov,pred_V11-Trimmed.mp4,1,0.141347,0.250477,13034,13034
V12-Trimmed,V12-Trimmed.mp4,pred_V12-Trimmed.mp4,1,0.139374,0.327474,27002,27002
V14_Trimmed,V14_Trimmed.mp4,pred_V14_Trimmed.mp4,1,0.116529,0.283002,4066,4066
V15_Trimmed,V15_Trimmed.mp4,pred_V15_Trimmed.mp4,1,0.199120,0.151735,3547,3547
V17_Trimmed,V17_Trimmed.mp4,pred_V17_Trimmed.mp4,1,0.150594,0.241877,3176,3176
V18_Trimmed,V18_Trimmed.mp4,pred_V18_Trimmed.mp4,1,0.173790,0.173642,5233,5233
V2_Trimmed,V2_Trimmed.mp4,pred_V2_Trimmed.mp4,1,0.109822,0.144731,53382,53382
V4_Trimmed,V4_Trimmed.mp4,pred_V4_Trimmed.mp4,1,0.141188,0.197541,25319,25319
V5_Trimmed,V5_Trimmed.mp4,pred_V5_Trimmed.mp4,1,0.077867,0.185687,8160,8160
V7-Trimmed,V7-Trimmed.mp4,pred_V7-Trimmed.mp4,1,0.110135,0.178851,119555,119555
