video,scored_frames,iou_mean,dice_mean,tp_rows,tn_rows
LapChol Case 0001 03,28,0.15781331849067204,0.24589584224787492,21,7
LapChol Case 0001 04,50,0.24278175954025039,0.3307273903127684,34,16
LapChol Case 0001 05,66,0.21275140886922372,0.2907704679615839,51,15
LapChol Case 0002 02,14,0.14127841430586038,0.2013472829100171,13,1
LapChol Case 0002 03,28,0.0122942443497356,0.020548899130792282,22,6
LapChol Case 0007 01,41,0.2617899908088604,0.34530453606215306,30,11
LapChol Case 0007 02,38,0.35128373792972684,0.4539057857114425,28,10
LapChol Case 0007 03,36,0.43309324089852913,0.5685707912071472,33,3
LapChol Case 0012 03,41,0.18559264512122978,0.25889325966928856,34,7
LapChol Case 0012 04,29,0.21780241691395352,0.29210542127554934,21,8
LapChol Case 0016 01,45,0.19251816201519004,0.28021712241329866,43,2
LapChol Case 0018 10,27,0.19357089886512793,0.26433412751021423,24,3
LapChol Case 0018 11,17,0.24581482639532326,0.35165593914736926,15,2
LapChol Case 0019 02,7,0.19150453061511621,0.25572178539556245,7,0
LapChol Case 0019 03,14,0.0824297197608368,0.13291744479871737,13,1
LapChol Case 0020 02,32,0.21305769686347395,0.29438555733904637,27,5
LapChol Case 0020 03,60,0.14278920309205606,0.21684023975190567,41,19
LapChol Case 0023 03,54,0.11295654916788946,0.1668065215909413,46,8
LapChol Case 0023 04,41,0.10606678575439049,0.15902726224631195,36,5
