video,frames_used,iou_mean,iou_std,dice_mean,dice_std
LapChol Case 0001 03,6808,0.000826592569838153,0.015460117951040627,0.0012885076841925652,0.023579495776444533
LapChol Case 0001 04,7122,0.001131379000122948,0.022480966082050538,0.0015862542604502573,0.030146745467647566
LapChol Case 0001 05,6257,0.0017861823711268325,0.028829630014015804,0.002477802900336333,0.038034239122988
LapChol Case 0002 02,3841,0.0004549554649314699,0.014293632997854386,0.0006363788850328243,0.019177360792837113
LapChol Case 0002 03,6635,0.000134883615347745,0.006270409240577871,0.00021092470006803336,0.009414765875536007
LapChol Case 0007 01,6222,0.0014851527421198248,0.02873695996139495,0.0019322706663293312,0.03618137588421844
LapChol Case 0007 02,5740,0.002030829608633109,0.03367586587994199,0.002622849992424801,0.042696032157304664
LapChol Case 0007 03,4553,0.0035106614787136694,0.043393663874348044,0.004591041986677223,0.05579005409531174
LapChol Case 0011 02,7811,0.0,0.0,0.0,0.0
LapChol Case 0011 03,8109,0.0,0.0,0.0,0.0
LapChol Case 0012 03,6028,0.0015669101825003555,0.027700115632524135,0.0021236094400747018,0.03650220394887877
LapChol Case 0012 04,5912,0.0008969098556954518,0.02135785615761236,0.001206359638401185,0.0276045694211245
LapChol Case 0015 01,7533,0.0,0.0,0.0,0.0
LapChol Case 0015 02,6041,0.0,0.0,0.0,0.0
LapChol Case 0016 01,6043,0.0014997343287938333,0.024217946791594634,0.0021811629291024967,0.033851567485773906
LapChol Case 0018 10,4218,0.0012198822769854888,0.024426367601857048,0.0016655304819112968,0.03182183729808587
LapChol Case 0018 11,3567,0.0012779345800423586,0.022638058640964492,0.0018302195063240921,0.03201091574149203
LapChol Case 0019 02,2368,0.0008399054518345447,0.02159506731684592,0.0010881455014776918,0.02741802919974673
LapChol Case 0019 03,3177,0.00035497970991287984,0.009545157705303568,0.0005696240398437807,0.014723466108957445
LapChol Case 0020 02,6688,0.0016843732127894094,0.028913534228181687,0.002277266014404159,0.037823207466819254
LapChol Case 0020 03,8464,0.0009878774667937166,0.018013171582941818,0.0014960277353325297,0.026630418246201715
LapChol Case 0023 03,7775,0.0007590108966367191,0.015406033162456466,0.0011700067118683767,0.02269802352919437
LapChol Case 0023 04,8703,0.0005780334058408554,0.013982056584587961,0.0008764471301368709,0.020113656433768702
